Feature,Importance
duration,0.473139327952024
euribor3m,0.10627179171114048
nr.employed,0.1020767932883036
emp.var.rate,0.08168763097841615
cons.conf.idx,0.038920992742563734
pdays,0.02909882595771623
cons.price.idx,0.02693729961506166
month_enc,0.02498154456577391
age,0.021375886635131323
poutcome_enc,0.018962491911772433
contact_enc,0.012373624247941943
campaign,0.010777964623804445
education_enc,0.009678779473558054
previous,0.009610339359112218
job_enc,0.009340336894262
day_of_week_enc,0.009171855089235166
default_enc,0.005377687688585527
marital_enc,0.00447176178625768
housing_enc,0.0030145687315790916
loan_enc,0.0027304967477602246
