Date,Channel,Campaign,Region,Audience,Budget,Impressions,Clicks,Conversions,Revenue,CTR,CVR,CPC,ROAS,ROI,Month,Month_Num,Quarter
2024-01-01,Google Ads,Black Friday,East,18-24,9075,1653561,74865,4135,431829.95,4.53,5.52,0.12,47.58,4658.5,Jan,1,Q1
2024-01-01,Email,Black Friday,Central,45-54,2780,360638,52715,3981,571461.48,14.62,7.55,0.05,205.56,20456.2,Jan,1,Q1
2024-01-01,Email,Black Friday,West,18-24,2528,522767,87250,7896,805896.01,16.69,9.05,0.03,318.79,31778.8,Jan,1,Q1
2024-01-02,Google Ads,Spring Launch,East,18-24,7061,906795,27322,2138,365107.71,3.01,7.83,0.26,51.71,5070.8,Jan,1,Q1
2024-01-02,Google Ads,New Year,South,55+,5912,1687295,48161,2737,330210.02,2.85,5.68,0.12,55.85,5485.4,Jan,1,Q1
2024-01-02,Influencer,Spring Launch,East,55+,9724,912828,73525,3420,161685.23,8.05,4.65,0.13,16.63,1562.7,Jan,1,Q1
2024-01-02,Google Ads,Brand Awareness,South,45-54,14884,1435389,45724,2778,533232.54,3.19,6.08,0.33,35.83,3482.6,Jan,1,Q1
2024-01-03,Google Ads,Summer Sale,North,25-34,5531,939432,22620,1500,85809.87,2.41,6.63,0.24,15.51,1451.4,Jan,1,Q1
2024-01-04,Email,Summer Sale,South,18-24,605,88730,12039,956,200996.68,13.57,7.94,0.05,332.23,33122.6,Jan,1,Q1
2024-01-04,Google Ads,Spring Launch,East,25-34,8141,1364811,56223,3247,426141.32,4.12,5.78,0.14,52.35,5134.5,Jan,1,Q1
2024-01-04,Influencer,Summer Sale,South,55+,14125,2412564,176746,8080,1917598.09,7.33,4.57,0.08,135.76,13475.9,Jan,1,Q1
2024-01-05,Email,Brand Awareness,Central,55+,511,58865,8669,673,101233.3,14.73,7.76,0.06,198.11,19710.8,Jan,1,Q1
2024-01-05,Influencer,Spring Launch,West,25-34,12166,1142961,75077,4249,1046694.92,6.57,5.66,0.16,86.03,8503.4,Jan,1,Q1
2024-01-05,Social Media,Black Friday,South,55+,6318,968709,53592,2280,166666.24,5.53,4.25,0.12,26.38,2538.0,Jan,1,Q1
2024-01-06,Email,Spring Launch,East,35-44,2043,225968,32850,2722,311967.09,14.54,8.29,0.06,152.7,15170.0,Jan,1,Q1
2024-01-06,Social Media,Summer Sale,East,18-24,7860,1786837,122391,6419,268183.87,6.85,5.24,0.06,34.12,3312.0,Jan,1,Q1
2024-01-07,Email,Brand Awareness,South,55+,1115,81691,13424,1061,108943.42,16.43,7.9,0.08,97.71,9670.7,Jan,1,Q1
2024-01-07,Influencer,New Year,East,45-54,7785,1009927,92679,4933,615205.51,9.18,5.32,0.08,79.02,7802.4,Jan,1,Q1
2024-01-08,Social Media,Black Friday,East,25-34,4398,246906,13138,544,115875.92,5.32,4.14,0.33,26.35,2534.7,Jan,1,Q1
2024-01-08,Google Ads,Summer Sale,West,25-34,6689,1540811,56952,3387,833530.24,3.7,5.95,0.12,124.61,12361.2,Jan,1,Q1
2024-01-09,Social Media,New Year,West,35-44,2916,650876,24149,931,206844.49,3.71,3.86,0.12,70.93,6993.4,Jan,1,Q1
2024-01-10,Influencer,Brand Awareness,Central,18-24,13171,3706269,286815,14056,3157818.77,7.74,4.9,0.05,239.76,23875.5,Jan,1,Q1
2024-01-10,Influencer,Summer Sale,East,35-44,13878,3485765,281450,15331,2206535.96,8.07,5.45,0.05,159.0,15799.5,Jan,1,Q1
2024-01-11,Email,Summer Sale,North,55+,2646,379172,56594,4834,614077.06,14.93,8.54,0.05,232.08,23107.7,Jan,1,Q1
2024-01-11,Google Ads,Black Friday,East,25-34,10307,933943,46080,2416,419021.52,4.93,5.24,0.22,40.65,3965.4,Jan,1,Q1
2024-01-11,Social Media,Brand Awareness,Central,18-24,1237,128383,8440,324,17458.47,6.57,3.84,0.15,14.11,1311.4,Jan,1,Q1
2024-01-13,Google Ads,Brand Awareness,North,45-54,12610,1182468,46332,2688,262668.98,3.92,5.8,0.27,20.83,1983.0,Jan,1,Q1
